RideEstimativeID,RideID,ProductID,WaitingTime,Price,Selected,Fee,ProviderID,CategoryID,Description,UserID,Schedule,Create,RideStatusID,CompanyID,Updated,TotalUsers,origem_RideAddressID,origem_Address,origem_Street,origem_City,origem_State,origem_Lat,origem_Lng,origem_RideAddressTypeID,origem_RideID,destino_RideAddressID,destino_Address,destino_Street,destino_City,destino_State,destino_Lat,destino_Lng,destino_RideAddressTypeID,destino_RideID,delta_schedule_create,delta_schedule_updated,delta_create_updated,lead_time,weekday,hour,periodo,horario_pico,fim_de_semana,distance_km,distance_pico,week_pico,travel_time_seconds,speed_kmh,traffic_indicator,distance_time_ratio,lead_time_ratio,trips_per_hour,trips_per_weekday,same_city,same_state,month,season,effective_distance,distance_time_efficiency,adjusted_speed_pico
9476526,1293762,UberX,3,54.5,False,0.0,2,2,UberX,d9f8e5b5-a06a-461d-8e80-692c2b8ee0ee,2021-09-28 18:03:16.949665900,2021-09-28 18:03:16.965252600,2,40,2021-09-28 18:03:25.725848000,1,2555382,"R. João Líra, 209 - Leblon, Rio de Janeiro - RJ, 22430-210, Brazil, 209","R. João Líra, 209 - Leblon, Rio de Janeiro - RJ, 22430-210, Brazil",Rio de Janeiro,RJ,-22.98157399999999,-43.2230014,1,1293762,2555383,"R. Aurélio Cordeiro, 1748 - Tomazinho, São João de Meriti - RJ, 25530-260, Brazil, 1748","R. Aurélio Cordeiro, 1748 - Tomazinho, São João de Meriti - RJ, 25530-260, Brazil",Rio de Janeiro,RJ,-22.8020467,-43.3964584,2,1293762,0.0155867,8.7761821,8.7605954,-0.0002597783333333,1,18,2,1,0,26.72494192444884,26.72494192444884,1,8.7605954,10982.11,0,10982.106413454025,-0.0017791827254115,175795,330621,1,1,9,3,26.72494192444884,10982.106413454025,21964.22
9786527,1333029,UberX,5,73.5,True,0.0,2,2,UberX,d06915ef-f59a-42e1-9d3b-c35421ccd156,2021-10-14 10:42:26.774374900,2021-10-14 10:42:26.792465800,2,40,2021-10-14 10:42:34.611789800,1,2633911,"Rua Aurora, 578 - Rua Aurora - Brasil",Rua Aurora,Rio de Janeiro,RJ,-22.7943594,-43.4297427,1,1333029,2633912,"Av. Érico Veríssimo, 918 - Barra da Tijuca, Rio de Janeiro - RJ, 22621-180, Brazil, 918","Av. Érico Veríssimo, 918 - Barra da Tijuca, Rio de Janeiro - RJ, 22621-180, Brazil",Desconhecido,Desconhecido,-23.0094715,-43.3059992,2,1333029,0.0180909,7.8374149,7.819324,-0.000301515,3,10,0,0,0,27.07016891141352,0.0,0,7.819324,12463.05,0,12463.047711168978,-0.0023136143226703,186193,382819,0,0,10,3,27.07016891141352,12463.047711168978,12463.05
10318080,1395866,pop99,9,66.62,True,0.0,3,2,99POP,e0cf8ce3-60aa-4ed2-9433-c61d7afcd963,2022-02-23 21:03:15.911615100,2022-02-23 21:03:15.954531200,2,69,2022-02-23 21:04:19.302090700,1,2759581,"R. Butantã, 336 - Pinheiros, São Paulo - SP, 05424-140, Brasil, 336 - São Paulo - SP","R. Butantã, 336 - Pinheiros, São Paulo - SP, 05424-140, Brasil",São Paulo,SP,-23.5700909,-46.698091,1,1395866,2759582,"R. Getúlio Vargas, 5 - Piratininga, Carapicuíba - SP, 06380-200, Brasil, 5 - Carapicuíba - SP","R. Getúlio Vargas, 5 - Piratininga, Carapicuíba - SP, 06380-200, Brasil",Carapicuíba,SP,-23.5401558,-46.8397742,2,1395866,0.0429161,63.3904756,63.3475595,-0.0007152683333333,2,21,2,0,0,14.82038844056503,0.0,0,63.3475595,842.23,0,842.2328943237995,-0.0006774704556692,57509,377178,0,1,2,0,14.82038844056503,842.2328943237995,842.23
9274371,1267811,Bag,7,74.5,False,0.0,2,9,Bag,d617cf4f-134a-4d02-9b68-d588032b1b64,2021-09-18 09:33:35.062027800,2021-09-18 09:33:35.078140800,2,40,2021-09-18 09:33:44.638430900,1,2503480,"Rua José Barros Magaldi, 815 - Rua José Barros Magaldi - Brasil",Rua José Barros Magaldi,São Paulo,SP,-23.6648115,-46.7369267,1,1267811,2503481,"R. Santa Generosa, 80 - Vila Clementino, São Paulo - SP, 04042-010, Brazil, 80 - São Paulo - São Paulo","R. Santa Generosa, 80 - Vila Clementino, São Paulo - SP, 04042-010, Brazil",São Paulo,SP,-23.6027323,-46.6504976,2,1267811,0.016113,9.5764031,9.5602901,-0.00026855,5,9,0,1,1,11.18784856693585,11.18784856693585,5,9.5602901,4212.87,0,4212.869527983158,-0.0016854091069893,230234,197966,1,1,9,3,11.18784856693585,4212.869527983158,8425.74
9873525,1343611,pop99,5,23.19,False,0.0,3,2,99POP,f3582832-5dc3-488c-afac-e538063924d2,2021-10-19 09:23:41.874989000,2021-10-19 09:23:41.920073800,2,40,2021-10-19 09:23:54.579045200,1,2655075,"Rua Quero-Quero, 20 - Rua Quero-Quero - Brasil",Rua Quero-Quero,São Paulo,SP,-23.549861600000003,-46.7528189,1,1343611,2655076,"Av. dos Remédios, 2555 - Ayrosa, Osasco - SP, 05107-002, Brazil, 2555 - Osasco - São Paulo","Av. dos Remédios, 2555 - Ayrosa, Osasco - SP, 05107-002, Brazil",Osasco,SP,-23.5094245,-46.7622457,2,1343611,0.0450848,12.7040562,12.6589714,-0.0007514133333333,1,9,0,1,0,4.597967568375487,4.597967568375487,1,12.6589714,1307.59,0,1307.5851681086626,-0.0035614899959407,230234,330621,0,1,10,3,4.597967568375487,1307.5851681086626,2615.18
9931877,1350732,pop99,4,15.63,False,0.0,3,2,99POP,8e7dcbc1-ab58-4392-b920-70b751eb7a4e,2021-10-21 10:59:16.937537700,2021-10-21 10:59:17.000197400,2,40,2021-10-21 10:59:23.660595500,1,2669317,"SC-401, 1482 - SC-401 - Brasil",SC-401,Blumenau,SC,-27.5567818,-48.5015529,1,1350732,2669318,"R. Nirberto Haase, 75 - Santa Monica, Florianópolis - SC, 88035-215, Brazil, 75 - Florianópolis - Santa Catarina","R. Nirberto Haase, 75 - Santa Monica, Florianópolis - SC, 88035-215, Brazil",Florianópolis,SC,-27.5915794,-48.5133552,2,1350732,0.0626597,6.7230578,6.6603981,-0.0010443283333333,3,10,0,0,0,4.04040785096478,0.0,0,6.6603981,2183.87,0,2183.873703206,-0.0094078010141766,186193,382819,0,1,10,3,4.04040785096478,2183.873703206,2183.87
10133597,1374490,Uber Promo,6,80.0,False,0.0,2,2,Uber Promo,1a03bf2d-5bec-4932-8a46-0303a106ea47,2021-10-29 18:43:11.817840300,2021-10-29 18:43:11.858942300,2,41,2021-10-29 18:43:26.691029100,1,2716833,"Avenida Brasil, 3702 - Avenida Brasil - Brasil",Avenida Brasil,Rio de Janeiro,RJ,-22.8800888,-43.237709,1,1374490,2716834,"R. Alice, 21 - Sepetiba, Rio de Janeiro - RJ, 23530-310, Brazil, 21","R. Alice, 21 - Sepetiba, Rio de Janeiro - RJ, 23530-310, Brazil",Rio de Janeiro,RJ,-22.981129,-43.688953,2,1374490,0.041102,14.8731888,14.8320868,-0.0006850333333333,4,18,2,1,0,47.557219983946766,47.557219983946766,4,14.8320868,11542.95,0,11542.94700744391,-0.0027711542249065,175795,366752,1,1,10,3,47.557219983946766,11542.94700744391,23085.9
9153795,1252460,turbo-taxi,5,33.02,False,0.0,3,5,99TAXI,373bfee9-4b2b-4861-abf5-c4e8d1f843bf,2021-09-13 10:28:35.524154100,2021-09-13 10:28:35.539404800,2,40,2021-09-13 10:28:46.019355700,1,2472794,"Praca Carlota Martini Paiva, 469 - Praca Carlota Martini Paiva - Brasil",Praca Carlota Martini Paiva,Belo Horizonte,MG,-19.8422755,-43.9713111,1,1252460,2472795,"Marginal Anel Rodoviário, 262 - Maria Virgínia, Belo Horizonte - MG, 31155-500, Brazil, 262 - Belo Horizonte - Minas Gerais","Marginal Anel Rodoviário, 262 - Maria Virgínia, Belo Horizonte - MG, 31155-500, Brazil",Belo Horizonte,MG,-19.8690165,-43.9366922,2,1252460,0.0152507,10.4952016,10.4799509,-0.0002541783333333,0,10,0,0,0,4.685114927705308,0.0,0,10.4799509,1609.4,0,1609.3981642355889,-0.0014552262835506,186193,326163,1,1,9,3,4.685114927705308,1609.3981642355889,1609.4
9683122,1319947,Black,14,32.5,False,0.0,2,4,Black,191d7621-d3b0-43f7-a54b-f7eba324496a,2021-10-07 19:55:26.629389600,2021-10-07 19:55:26.665718200,2,54,2021-10-07 19:55:47.144495200,1,2607747,"Avenida Carmela Dutra, 43 - Avenida Carmela Dutra - Brasil",Avenida Carmela Dutra,Rio de Janeiro,RJ,-22.8079768,-43.4148342,1,1319947,2607748,"R. Rocha - Vilar dos Teles, São João de Meriti - RJ, 25565, Brazil, ","R. Rocha - Vilar dos Teles, São João de Meriti - RJ, 25565, Brazil",Rio de Janeiro,RJ,-22.7835931,-43.36061489999999,2,1319947,0.0363286,20.5151056,20.478777,-0.0006054766666666,3,19,2,1,0,6.184083191016041,6.184083191016041,3,20.478777,1087.11,0,1087.1107921951466,-0.0017739633572844,164695,382819,1,1,10,3,6.184083191016041,1087.1107921951466,2174.22
10199488,1382617,pop99,5,7.99,True,0.0,3,2,99POP,ae9b1952-b689-423e-b2aa-a401944bd84e,2021-11-12 17:51:16.656408700,2021-11-12 17:51:16.674391200,2,64,2021-11-12 17:51:45.661583100,1,2733083,"Av. do Contorno, 5454 - Serra, Belo Horizonte - MG, 30110-031, Brasil,  - Av. do Contorno, 5454 - Serra, Belo Horizonte - MG, 30110-031, Brasil","Av. do Contorno, 5454 - Serra, Belo Horizonte - MG, 30110-031, Brasil",Belo Horizonte,MG,-19.9393067,-43.9296211,1,1382617,2733084,"Av. Afonso Pena, 2729, 2729 - Av. Afonso Pena, 2729 - Centro, Belo Horizonte - MG, 30130-005, Brasil","Av. Afonso Pena, 2729",Belo Horizonte,MG,-19.9349425,-43.9284393,2,1382617,0.0179825,29.0051744,28.9871919,-0.0002997083333333,4,17,1,1,0,0.5007545421748409,0.5007545421748409,4,28.9871919,62.19,0,62.19009961532105,-0.0006203601943243,145389,366752,1,1,11,3,0.5007545421748409,62.19009961532105,124.38
